Source,Target,Weight
Mehdi Kaytoue,Amedeo Napoli,50
Mehdi Kaytoue,Jean-François Boulicaut,26
Mehdi Kaytoue,Marc Plantevit,18
Mehdi Kaytoue,Victor Codocedo,18
Mehdi Kaytoue,C. Robardet,16
Mehdi Kaytoue,Zainab Assaghir,14
Mehdi Kaytoue,Youcef Remil,13
Mehdi Kaytoue,Guillaume Bosc,12
Mehdi Kaytoue,Romain Mathonat,11
Mehdi Kaytoue,Chedy Raïssi,10
Amedeo Napoli,Mehdi Kaytoue,50
Amedeo Napoli,Jean Lieber,50
Amedeo Napoli,Miguel Couceiro,49
Amedeo Napoli,Marie-Dominique Devignes,40
Amedeo Napoli,Sergei O. Kuznetsov,39
Amedeo Napoli,Malika Smaïl-Tabbone,37
Amedeo Napoli,Victor Codocedo,28
Amedeo Napoli,Adrien Coulet,27
Amedeo Napoli,Florence Le Ber,27
Amedeo Napoli,Laszlo Szathmary,27
Amedeo Napoli,Mathieu D’aquin,25
Amedeo Napoli,Chedy Raïssi,24
Amedeo Napoli,Petko Valtchev,23
Amedeo Napoli,Aleksey Buzmakov,23
Amedeo Napoli,Nizar Messai,22
Amedeo Napoli,Mehwish Alam,20
Amedeo Napoli,Tatiana Makhalova,19
Amedeo Napoli,Yannick Toussaint,19
Amedeo Napoli,Nicolas Jay,19
Amedeo Napoli,Marianne Huchard,16
Amedeo Napoli,Nyoman Juniarta,16
Amedeo Napoli,Emmanuel Nauer,16
Amedeo Napoli,Pierre Monnin,15
Amedeo Napoli,Zainab Assaghir,15
Amedeo Napoli,Frédéric Pennerath,14
Amedeo Napoli,Rim Al Hulou,14
Amedeo Napoli,Béatrice Fuchs,13
Amedeo Napoli,Alain Mille,13
Amedeo Napoli,Jérôme Euzenat,13
Amedeo Napoli,Elias Egho,13
Amedeo Napoli,Alexandre Bazin,12
Amedeo Napoli,Amine Mohamed Rouane Hacene,12
Amedeo Napoli,Justine Reynaud,10
Amedeo Napoli,Sébastien Duplessis,10
Amedeo Napoli,Nacira Abbas,9
Amedeo Napoli,Alain Gély,9
Amedeo Napoli,Dhouha Grissa,9
Amedeo Napoli,Blandine Comte,9
Amedeo Napoli,Estelle Pujos-Guillot,9
Amedeo Napoli,Rokia Bendaoud,9
Amedeo Napoli,Guilherme Alves,8
Amedeo Napoli,Claude Laurenço,8
Amedeo Napoli,Henri Prade,8
Amedeo Napoli,Sandy Maumus,8
Amedeo Napoli,Hacène Cherfi,8
Amedeo Napoli,Roland Ducournau,8
Amedeo Napoli,Fadi Badra,8
Amedeo Napoli,Vaishnavi Bhargava,7
Amedeo Napoli,Jérôme David,7
Amedeo Napoli,Sebastian Rudolph,7
Amedeo Napoli,Sébastien Brachais,7
Amedeo Napoli,Jean-Luc Metzger,7
Amedeo Napoli,Martine Cadot,7
Amedeo Napoli,Sergei Kuznetsov,6
Amedeo Napoli,Sophie Visvikis-Siest,6
Amedeo Napoli,Robert Godin,6
Amedeo Napoli,Gilles Niel,5
Amedeo Napoli,Brieuc Conan-Guez,5
Amedeo Napoli,Sidahmed Benabderrahmane,5
Amedeo Napoli,Julien Cojan,5
Amedeo Napoli,Egor Dudyrev,4
Amedeo Napoli,Mélanie Pétéra,4
Amedeo Napoli,Emmanuel Bresso,4
Amedeo Napoli,Olivier Poch,4
Amedeo Napoli,Amélie Cordier,4
Amedeo Napoli,Toon Calders,4
Amedeo Napoli,Ludmila Mangelinck,4
Amedeo Napoli,Ioanna Lykourentzou,4
Amedeo Napoli,Hernan Astudillo,4
Amedeo Napoli,Melisachew Wudagae Chekol,4
Amedeo Napoli,Hala Skaf-Molli,4
